descriptor,source,nan_rate,kept
ATSC7are,mordred,0.010101010101010102,True
ATSC8are,mordred,0.010101010101010102,True
ATSC0p,mordred,0.0,True
ATSC1p,mordred,0.0,True
ATSC2p,mordred,0.0,True
ATSC3p,mordred,0.0,True
ATSC4p,mordred,0.0,True
ATSC5p,mordred,0.0,True
ATSC6p,mordred,0.0,True
ATSC7p,mordred,0.0,True
ATSC8p,mordred,0.0,True
ATSC0i,mordred,0.0,True
ATSC1i,mordred,0.0,True
ATSC2i,mordred,0.0,True
ATSC3i,mordred,0.0,True
ATSC4i,mordred,0.0,True
ATSC5i,mordred,0.0,True
ATSC6i,mordred,0.0,True
ATSC7i,mordred,0.0,True
ATSC8i,mordred,0.0,True
AATSC0c,mordred,0.020202020202020204,True
AATSC1c,mordred,0.050505050505050504,True
AATSC2c,mordred,0.10101010101010101,True
AATSC3c,mordred,0.1414141414141414,True
AATSC4c,mordred,0.15151515151515152,True
AATSC5c,mordred,0.21212121212121213,False
AATSC6c,mordred,0.2727272727272727,False
AATSC7c,mordred,0.35353535353535354,False
AATSC8c,mordred,0.3939393939393939,False
AATSC0dv,mordred,0.0,True
AATSC1dv,mordred,0.030303030303030304,True
AATSC2dv,mordred,0.08080808080808081,True
AATSC3dv,mordred,0.13131313131313133,True
AATSC4dv,mordred,0.1414141414141414,True
AATSC5dv,mordred,0.20202020202020202,False
AATSC6dv,mordred,0.26262626262626265,False
AATSC7dv,mordred,0.3434343434343434,False
AATSC8dv,mordred,0.3838383838383838,False
AATSC0d,mordred,0.0,True
AATSC1d,mordred,0.030303030303030304,True
AATSC2d,mordred,0.08080808080808081,True
AATSC3d,mordred,0.13131313131313133,True
AATSC4d,mordred,0.1414141414141414,True
AATSC5d,mordred,0.20202020202020202,False
AATSC6d,mordred,0.26262626262626265,False
AATSC7d,mordred,0.3434343434343434,False
AATSC8d,mordred,0.3838383838383838,False
AATSC0s,mordred,0.32323232323232326,False
AATSC1s,mordred,0.32323232323232326,False
AATSC2s,mordred,0.32323232323232326,False
AATSC3s,mordred,0.3434343434343434,False
AATSC4s,mordred,0.3434343434343434,False
AATSC5s,mordred,0.3838383838383838,False
AATSC6s,mordred,0.43434343434343436,False
AATSC7s,mordred,0.47474747474747475,False
AATSC8s,mordred,0.5151515151515151,False
AATSC0Z,mordred,0.0,True
AATSC1Z,mordred,0.030303030303030304,True
AATSC2Z,mordred,0.08080808080808081,True
AATSC3Z,mordred,0.13131313131313133,True
AATSC4Z,mordred,0.1414141414141414,True
AATSC5Z,mordred,0.20202020202020202,False
AATSC6Z,mordred,0.26262626262626265,False
AATSC7Z,mordred,0.3434343434343434,False
AATSC8Z,mordred,0.3838383838383838,False
AATSC0m,mordred,0.0,True
AATSC1m,mordred,0.030303030303030304,True
AATSC2m,mordred,0.08080808080808081,True
AATSC3m,mordred,0.13131313131313133,True
AATSC4m,mordred,0.1414141414141414,True
AATSC5m,mordred,0.20202020202020202,False
AATSC6m,mordred,0.26262626262626265,False
AATSC7m,mordred,0.3434343434343434,False
AATSC8m,mordred,0.3838383838383838,False
AATSC0v,mordred,0.0,True
AATSC1v,mordred,0.030303030303030304,True
AATSC2v,mordred,0.08080808080808081,True
AATSC3v,mordred,0.13131313131313133,True
AATSC4v,mordred,0.1414141414141414,True
AATSC5v,mordred,0.20202020202020202,False
AATSC6v,mordred,0.26262626262626265,False
AATSC7v,mordred,0.3434343434343434,False
AATSC8v,mordred,0.3838383838383838,False
AATSC0se,mordred,0.010101010101010102,True
AATSC1se,mordred,0.04040404040404041,True
AATSC2se,mordred,0.09090909090909091,True
AATSC3se,mordred,0.13131313131313133,True
AATSC4se,mordred,0.1414141414141414,True
AATSC5se,mordred,0.20202020202020202,False
AATSC6se,mordred,0.26262626262626265,False
AATSC7se,mordred,0.3434343434343434,False
AATSC8se,mordred,0.3838383838383838,False
AATSC0pe,mordred,0.0,True
AATSC1pe,mordred,0.030303030303030304,True
AATSC2pe,mordred,0.08080808080808081,True
AATSC3pe,mordred,0.13131313131313133,True
AATSC4pe,mordred,0.1414141414141414,True
AATSC5pe,mordred,0.20202020202020202,False
AATSC6pe,mordred,0.26262626262626265,False
AATSC7pe,mordred,0.3434343434343434,False
AATSC8pe,mordred,0.3838383838383838,False
AATSC0are,mordred,0.010101010101010102,True
AATSC1are,mordred,0.04040404040404041,True
AATSC2are,mordred,0.09090909090909091,True
AATSC3are,mordred,0.13131313131313133,True
AATSC4are,mordred,0.1414141414141414,True
AATSC5are,mordred,0.20202020202020202,False
AATSC6are,mordred,0.26262626262626265,False
AATSC7are,mordred,0.3434343434343434,False
AATSC8are,mordred,0.3838383838383838,False
AATSC0p,mordred,0.0,True
AATSC1p,mordred,0.030303030303030304,True
AATSC2p,mordred,0.08080808080808081,True
AATSC3p,mordred,0.13131313131313133,True
AATSC4p,mordred,0.1414141414141414,True
AATSC5p,mordred,0.20202020202020202,False
AATSC6p,mordred,0.26262626262626265,False
AATSC7p,mordred,0.3434343434343434,False
AATSC8p,mordred,0.3838383838383838,False
AATSC0i,mordred,0.0,True
AATSC1i,mordred,0.030303030303030304,True
AATSC2i,mordred,0.08080808080808081,True
AATSC3i,mordred,0.13131313131313133,True
AATSC4i,mordred,0.1414141414141414,True
AATSC5i,mordred,0.20202020202020202,False
AATSC6i,mordred,0.26262626262626265,False
AATSC7i,mordred,0.3434343434343434,False
AATSC8i,mordred,0.3838383838383838,False
MATS1c,mordred,0.050505050505050504,True
MATS2c,mordred,0.10101010101010101,True
MATS3c,mordred,0.1414141414141414,True
MATS4c,mordred,0.15151515151515152,True
MATS5c,mordred,0.21212121212121213,False
MATS6c,mordred,0.2727272727272727,False
MATS7c,mordred,0.35353535353535354,False
MATS8c,mordred,0.3939393939393939,False
MATS1dv,mordred,0.030303030303030304,True
MATS2dv,mordred,0.08080808080808081,True
MATS3dv,mordred,0.13131313131313133,True
MATS4dv,mordred,0.1414141414141414,True
MATS5dv,mordred,0.20202020202020202,False
MATS6dv,mordred,0.26262626262626265,False
MATS7dv,mordred,0.3434343434343434,False
MATS8dv,mordred,0.3838383838383838,False
MATS1d,mordred,0.04040404040404041,True
MATS2d,mordred,0.09090909090909091,True
MATS3d,mordred,0.13131313131313133,True
MATS4d,mordred,0.1414141414141414,True
MATS5d,mordred,0.20202020202020202,False
MATS6d,mordred,0.26262626262626265,False
MATS7d,mordred,0.3434343434343434,False
MATS8d,mordred,0.3838383838383838,False
MATS1s,mordred,0.32323232323232326,False
MATS2s,mordred,0.32323232323232326,False
MATS3s,mordred,0.3434343434343434,False
MATS4s,mordred,0.3434343434343434,False
MATS5s,mordred,0.3838383838383838,False
MATS6s,mordred,0.43434343434343436,False
MATS7s,mordred,0.47474747474747475,False
MATS8s,mordred,0.5151515151515151,False
MATS1Z,mordred,0.030303030303030304,True
MATS2Z,mordred,0.08080808080808081,True
